,Filepaths,Label
0,..\..\data\raw\FoodClassification\pakode\199.jpg,pakode
1,..\..\data\raw\FoodClassification\paani_puri\089.jpg,paani_puri
2,..\..\data\raw\FoodClassification\pizza\209.jpg,pizza
3,..\..\data\raw\FoodClassification\chapati\075.jpg,chapati
4,..\..\data\raw\FoodClassification\jalebi\291.jpg,jalebi
5,..\..\data\raw\FoodClassification\dhokla\117.jpg,dhokla
6,..\..\data\raw\FoodClassification\masala_dosa\237.jpg,masala_dosa
7,..\..\data\raw\FoodClassification\chole_bhature\020.jpg,chole_bhature
8,..\..\data\raw\FoodClassification\samosa\158.jpg,samosa
9,..\..\data\raw\FoodClassification\idli\208.jpg,idli
10,..\..\data\raw\FoodClassification\butter_naan\125.jpg,butter_naan
11,..\..\data\raw\FoodClassification\kadai_paneer\376.jpg,kadai_paneer
12,..\..\data\raw\FoodClassification\chole_bhature\150.jpg,chole_bhature
13,..\..\data\raw\FoodClassification\chapati\110.jpg,chapati
14,..\..\data\raw\FoodClassification\kulfi\200.jpg,kulfi
15,..\..\data\raw\FoodClassification\pav_bhaji\099.jpg,pav_bhaji
16,..\..\data\raw\FoodClassification\jalebi\110.jpg,jalebi
17,..\..\data\raw\FoodClassification\kadai_paneer\278.jpg,kadai_paneer
18,..\..\data\raw\FoodClassification\pav_bhaji\293.jpg,pav_bhaji
19,..\..\data\raw\FoodClassification\dal_makhani\145.jpg,dal_makhani
20,..\..\data\raw\FoodClassification\chole_bhature\179.jpg,chole_bhature
21,..\..\data\raw\FoodClassification\masala_dosa\032.jpg,masala_dosa
22,..\..\data\raw\FoodClassification\jalebi\217.jpg,jalebi
23,..\..\data\raw\FoodClassification\jalebi\126.jpg,jalebi
24,..\..\data\raw\FoodClassification\dhokla\144.jpg,dhokla
25,..\..\data\raw\FoodClassification\pakode\189.jpg,pakode
26,..\..\data\raw\FoodClassification\burger\238.jpg,burger
27,..\..\data\raw\FoodClassification\momos\227.jpg,momos
28,..\..\data\raw\FoodClassification\kulfi\018.jpg,kulfi
